ID1,merge,X3,X4
Ad9131ee9,-1.23/2.64,2.12,3.56
A9c5988ea,1.74/3.02,4.09,4.88
A28a5479d,0.87/3.56,3.47,4.47
Aaf5537cc,1.05/2.01,3.61,5.03
A370958bd,-1.47/1.26,3.98,6.59
Aea997e13,1.66/3.51,1.65,2.72
A3563646f,1.81/1.7,4.29,3.13
A9b3cfdba,1.8/2.26,1.94,5.23
A32b6737a,2.38/1.68,3.06,3.3
A30e96748,1/2.17,2.59,3.03
A7dd233f9,1.58/1,3.08,2.14
Afca2f470,1.56/1.62,3.16,2.52
Ad4959020,-0.11/0.04,1.76,5.25
A789f32a4,1.32/2.24,1.77,5.01
Abedf5b36,2.04/2.12,3.35,5.1
A05582fba,3.23/2.46,2.73,5.11
Aa976f585,0.28/1.44,2.24,4.59
A59e5808a,-0.69/2.17,2.08,3.66
Af3f55603,0/2.39,1.95,4.2
A6d20803d,1.17/2.33,4.12,5.98
A690671d8,2.39/2.5,2.4,2.96
Af8a97049,-0.04/1.96,2.69,6.13
A64a7ccde,0.95/2.05,3.18,3.02
A521ca32c,1.07/2.38,4.35,3.44
A46fd1e49,1.43/2.82,3.67,4.16
A9517ecf8,0.22/2.13,1.89,4.64
A520c9b4d,1.97/2.85,4.17,2.93
A5d130d1e,1.06/3.1,3.23,4.07
Af653812d,1.81/1.91,2.67,4.61
A6659ac2c,2.42/2.97,4.88,4.78
Aed69d2d2,1.64/2.46,2.93,4.3
A54debc74,0.25/3.03,4.46,4.25
A9eb627e2,2.07/3.02,4.03,3.48
A650ddad8,2.37/1.8,3.58,4.5
A5ed05d74,0.42/0.94,3.46,3.41
A9d9c7a23,0.98/3.16,2.6,3.74
Ac14eab0a,2.07/-0.02,2.9,2.45
A15852371,0.31/1.99,3.82,3.76
Ab9dbbcaa,0.25/0.68,4.12,5.47
A8800cd50,-0.88/0.48,1.45,3.92
A13d1c7ec,-0.12/1.74,2.44,4.24
Ac393511f,-0.34/0.44,3.01,4.04
A964e53a6,0.63/2.7,3.45,3.53
A9e13ae46,1.63/0.43,2.3,3.46
Afe7b6b8a,-1.6/2.68,2.84,3.78
A1a2ee361,0.83/4.03,1.01,3.48
A20039d82,0.09/0.63,1.04,3.03
Ad253386c,1.2/3.12,1.85,3.97
A07067f70,0.26/1.91,4.12,2.83
A914f2b19,-1.42/0.69,1.51,2.39
A96ae8f9a,0.18/1.94,3.83,3.76
A1eccb286,1.24/0.79,4.51,3.17
A31d59c48,1.7/1.37,3.36,2.88
A4c0d3b4e,0.68/0.98,1.33,3.58
A24553b07,-0.24/1.69,2.08,4.11
A142871d2,0.02/2.65,2.19,3.53
A069ae593,1.49/3.03,2.23,4.6
A4eb83053,1.64/1.7,2.47,4.7
Ae5215245,0.32/2.9,2.64,3.9
A8f55fe97,0.42/1.2,2.59,4.02
A51d2776c,2.87/2.81,0.71,4.11
Aeb2419b4,1.75/1.95,3.91,4.5
Adb01ec07,0.58/0.86,2.77,3.7
A35fecb17,0.53/2.64,3.31,2.55
A63bcab07,0.45/4.58,3.12,5.39
Aa1e67692,1.91/1.68,1.9,3.51
Aadb58152,1.36/3.91,1.59,4.56
A68505682,1.05/1.51,4.15,3.92
A6385c43b,1.69/2.75,2.04,4.35
A541b1455,0.33/0.62,3.16,3.21
Af8964579,-0.4/0.12,1.98,4.11
A640f58dc,0.64/2.35,3.07,5.17
A66934ac0,-1.5/3.72,3.42,4.72
A73b3b08f,1.64/3.08,3.92,4.4
A6f03005d,-0.29/1.93,3.57,3.53
A0a451d97,2.52/2.7,2.11,4.97
A76210601,1.2/0.12,2.03,3.03
Ac8b4476f,0.72/0.11,2.56,4.51
A836406ef,1.04/1.1,5.06,3.48
Aee9f2101,0.55/3.24,4.54,1.88
A9d853f4d,2.01/1.87,4.97,3.62
A92381c2f,2.41/1.12,2.44,4.02
A7d605343,1.53/2.05,4.81,3.94
A263156da,1/1.58,3.75,3.77
A45f21eea,-0.88/-0.34,3.54,5.64
Aae37a5f2,1.05/1.65,2.2,4.95
Ae5297345,0.38/2.79,2.08,3.44
Aaaff23b6,2.14/0.54,3.99,3.9
Aa4962bed,1.17/0.84,1.91,5.37
A1f1aa1ff,2.15/2.16,2.66,7.17
Af468bd45,1.58/0.48,4.16,3.99
A1e81765f,1.03/4.15,2.94,4.73
A28d42d9b,0.66/2.42,2.23,3.29
A1c5fb59a,0.98/2.29,1.19,2.82
A1505c004,0.68/1.83,4.28,3.25
Abe25fe4c,-0.23/2.06,4,4.07
Acc7d9084,2.23/3.15,3.52,6.28
Acc3aeb7c,2.64/1.82,3.04,4.32
A60258ecd,0.57/2.38,2.82,4.35
Af6ef7535,-0.93/3.21,3.08,4.52
A16c3ea4d,1.73/1.82,2.08,4.55
Ab1ea68d4,1.65/1.39,3.95,3.04
