ID1,measurement,value
Ad9131ee9,X1,0.7995841141183667
Ad9131ee9,X2,4.677055258508476
Ad9131ee9,X3,1.459171348701206
Ad9131ee9,X4,5.349499372120246
A9c5988ea,X1,1.1708758751416803
A9c5988ea,X2,1.5010245443445314
A9c5988ea,X3,4.8268948606942645
A9c5988ea,X4,3.7459358467085724
A28a5479d,X1,1.850160726039452
A28a5479d,X2,2.644685786212079
A28a5479d,X3,2.390569160144657
A28a5479d,X4,4.339788625771197
Aaf5537cc,X1,1.5546480021633533
Aaf5537cc,X2,2.2828511872981423
Aaf5537cc,X3,3.3515707944781474
Aaf5537cc,X4,3.760146937059624
A370958bd,X1,-1.3617332256835475
A370958bd,X2,2.482276449766593
A370958bd,X3,2.056698400446844
A370958bd,X4,4.703028524303188
Aea997e13,X1,2.3738670476374235
Aea997e13,X2,3.2674030174536277
Aea997e13,X3,3.1132037963604264
Aea997e13,X4,3.3146667123840983
A3563646f,X1,2.103953989012349
A3563646f,X2,-0.9022400043418637
A3563646f,X3,2.488384048644111
A3563646f,X4,2.75391347276331
A9b3cfdba,X1,-0.5132156817185662
A9b3cfdba,X2,0.2706063009491382
A9b3cfdba,X3,2.974221345198971
A9b3cfdba,X4,2.96921978886173
A32b6737a,X1,1.2770929112242584
A32b6737a,X2,2.020172915222449
A32b6737a,X3,3.4790786866498107
A32b6737a,X4,4.872508099520071
A30e96748,X1,1.3032733961176832
A30e96748,X2,1.7171966737830333
A30e96748,X3,2.1070597737912364
A30e96748,X4,2.04091530406502
A7dd233f9,X1,1.1965944190819688
A7dd233f9,X2,2.795876938778563
A7dd233f9,X3,3.261332970329027
A7dd233f9,X4,4.174159237131394
Afca2f470,X1,2.900925456840919
Afca2f470,X2,2.121381049973278
Afca2f470,X3,3.2764917738919426
Afca2f470,X4,5.3634267466358505
Ad4959020,X1,0.8349529619475616
Ad4959020,X2,1.7026686375165978
Ad4959020,X3,2.1270586881108215
Ad4959020,X4,2.5343626056190782
A789f32a4,X1,0.4592059106470552
A789f32a4,X2,1.986881036884706
A789f32a4,X3,2.155350842420386
A789f32a4,X4,4.8336905724514985
Abedf5b36,X1,1.14482483489885
Abedf5b36,X2,2.0781168075727043
Abedf5b36,X3,3.167981025431275
Abedf5b36,X4,2.789996983461566
A05582fba,X1,2.7880157822055662
A05582fba,X2,2.4444539400856953
A05582fba,X3,3.1970417998274803
A05582fba,X4,3.9976235030118867
Aa976f585,X1,-1.4677691096642933
Aa976f585,X2,1.990910139737142
Aa976f585,X3,2.049803016773981
Aa976f585,X4,4.540793775622194
A59e5808a,X1,3.0302071100707075
A59e5808a,X2,3.4627133147885605
A59e5808a,X3,1.8221777143423208
A59e5808a,X4,3.646698239431337
Af3f55603,X1,1.476962080332144
Af3f55603,X2,3.525736072477233
Af3f55603,X3,2.6423958366838747
Af3f55603,X4,2.9382143288217084
A6d20803d,X1,-0.20810190942332318
A6d20803d,X2,2.519028798723224
A6d20803d,X3,2.864691132219653
A6d20803d,X4,4.076874352137059
A690671d8,X1,0.7118655699091375
A690671d8,X2,1.5448419043969073
A690671d8,X3,1.7733085698068698
A690671d8,X4,2.608911004590449
Af8a97049,X1,1.351813471271118
Af8a97049,X2,2.467178451550076
Af8a97049,X3,3.5583025493753695
Af8a97049,X4,2.4536579429086656
A64a7ccde,X1,-1.6715166782469075
A64a7ccde,X2,1.8673460902195795
A64a7ccde,X3,2.916880822270681
A64a7ccde,X4,5.066349280158531
A521ca32c,X1,2.2140099591816007
A521ca32c,X2,2.247995431220169
A521ca32c,X3,2.9980939070079184
A521ca32c,X4,4.481141679838912
A46fd1e49,X1,1.2378439483340944
A46fd1e49,X2,2.9582346699831863
A46fd1e49,X3,4.493369479277762
A46fd1e49,X4,5.075811491697709
A9517ecf8,X1,2.299031883422705
A9517ecf8,X2,3.3113679614354954
A9517ecf8,X3,2.4871796919866282
A9517ecf8,X4,3.887013725260253
A520c9b4d,X1,-0.4195101472611036
A520c9b4d,X2,1.4685243966315293
A520c9b4d,X3,2.358458122171957
A520c9b4d,X4,5.784288808617016
A5d130d1e,X1,1.4773183158560723
A5d130d1e,X2,2.295087709746535
A5d130d1e,X3,3.0865672547695917
A5d130d1e,X4,3.8158798883785345
Af653812d,X1,0.2200538709947426
Af653812d,X2,2.0223207550940145
Af653812d,X3,1.8002069595064247
Af653812d,X4,4.707491783692848
A6659ac2c,X1,0.7883068331262039
A6659ac2c,X2,1.8337522056566673
A6659ac2c,X3,0.8304455020414108
A6659ac2c,X4,5.156159850557938
Aed69d2d2,X1,-1.2820332639874912
Aed69d2d2,X2,2.2858627202100092
Aed69d2d2,X3,1.9769250377153378
Aed69d2d2,X4,2.9958232186566116
A54debc74,X1,2.0244123615157097
A54debc74,X2,3.0070383444395206
A54debc74,X3,2.8750432322084745
A54debc74,X4,5.934437468070867
A9eb627e2,X1,-0.4565843867322674
A9eb627e2,X2,3.192082336668056
A9eb627e2,X3,2.7107405634503077
A9eb627e2,X4,3.078893664536057
A650ddad8,X1,-0.15090230024592688
A650ddad8,X2,0.803490831319962
A650ddad8,X3,3.4180506629812273
A650ddad8,X4,3.826185837120953
A5ed05d74,X1,3.673772004519345
A5ed05d74,X2,3.3288582042476675
A5ed05d74,X3,2.75768372951129
A5ed05d74,X4,3.353146032542927
A9d9c7a23,X1,1.6767949809008027
A9d9c7a23,X2,1.274984833922435
A9d9c7a23,X3,2.0040501446406096
A9d9c7a23,X4,3.715902510668916
Ac14eab0a,X1,2.7139915356654125
Ac14eab0a,X2,2.161475404199009
Ac14eab0a,X3,5.4685220616073975
Ac14eab0a,X4,2.479345307014793
A15852371,X1,-0.8788421722032942
A15852371,X2,1.027522226092347
A15852371,X3,3.6773582959917968
A15852371,X4,4.196880683715621
Ab9dbbcaa,X1,1.3145026427379594
Ab9dbbcaa,X2,2.8219479831867256
Ab9dbbcaa,X3,1.553713118120161
Ab9dbbcaa,X4,3.0124664442692706
A8800cd50,X1,0.3042736715464578
A8800cd50,X2,0.5284414316030748
A8800cd50,X3,5.316052839783553
A8800cd50,X4,3.446605177563655
A13d1c7ec,X1,0.7674627369222359
A13d1c7ec,X2,4.2007656123663635
A13d1c7ec,X3,3.194168545475735
A13d1c7ec,X4,1.5215040715326245
Ac393511f,X1,1.7828561778599177
Ac393511f,X2,3.273241335030151
Ac393511f,X3,3.2781223181895474
Ac393511f,X4,2.6826810855654912
A964e53a6,X1,-0.14591426836729693
A964e53a6,X2,0.5456518798779786
A964e53a6,X3,4.955221316235419
A964e53a6,X4,3.4064808997946363
A9e13ae46,X1,3.060594542428094
A9e13ae46,X2,1.7980628407709967
A9e13ae46,X3,2.154091483696836
A9e13ae46,X4,4.47815632402325
Afe7b6b8a,X1,0.9725000722840003
Afe7b6b8a,X2,2.935495370740934
Afe7b6b8a,X3,3.349506874370146
Afe7b6b8a,X4,3.7681220523674583
A1a2ee361,X1,0.2944428790220607
A1a2ee361,X2,2.4307394951881145
A1a2ee361,X3,2.4274951672502905
A1a2ee361,X4,3.7023337483097927
A20039d82,X1,1.4078816973467692
A20039d82,X2,1.9737246924406455
A20039d82,X3,1.5308030245739817
A20039d82,X4,3.898085603972603
Ad253386c,X1,0.5182632476233122
Ad253386c,X2,2.6875030256326884
Ad253386c,X3,4.129557074701674
Ad253386c,X4,5.278521005513218
A07067f70,X1,0.29408043503086667
A07067f70,X2,0.3746947340224007
A07067f70,X3,4.063726258747188
A07067f70,X4,3.913558465066525
A914f2b19,X1,0.2808077822077911
A914f2b19,X2,2.9534075724899864
A914f2b19,X3,1.9795757571447794
A914f2b19,X4,4.693558203066168
A96ae8f9a,X1,-0.020293092800330426
A96ae8f9a,X2,2.688996035484487
A96ae8f9a,X3,2.48263161223451
A96ae8f9a,X4,2.6528533753371866
A1eccb286,X1,2.0555718664553053
A1eccb286,X2,2.216776068815846
A1eccb286,X3,2.1604411252140383
A1eccb286,X4,5.678010464367067
A31d59c48,X1,1.0612274703197755
A31d59c48,X2,-0.06573241615675407
A31d59c48,X3,0.80406274030253
A31d59c48,X4,4.537223603292652
A4c0d3b4e,X1,3.2504230457358507
A4c0d3b4e,X2,2.1691706018209826
A4c0d3b4e,X3,2.5104898294188187
A4c0d3b4e,X4,2.845719820949255
A24553b07,X1,0.08888278100331015
A24553b07,X2,1.6808033791190768
A24553b07,X3,3.51428056373444
A24553b07,X4,4.184430985854415
A142871d2,X1,1.796433983461671
A142871d2,X2,1.8046654559696929
A142871d2,X3,2.893765422334206
A142871d2,X4,2.188317185513523
A069ae593,X1,2.1381639233697536
A069ae593,X2,4.594883800144907
A069ae593,X3,4.5692312786318325
A069ae593,X4,4.316557024165409
A4eb83053,X1,0.2548450684785142
A4eb83053,X2,0.44618335367986917
A4eb83053,X3,2.260706306951554
A4eb83053,X4,5.272474027423291
Ae5215245,X1,0.44282342673358643
Ae5215245,X2,1.8813838120525845
Ae5215245,X3,4.0157683888004
Ae5215245,X4,3.602939090339002
A8f55fe97,X1,2.168750198904948
A8f55fe97,X2,2.3049028026276712
A8f55fe97,X3,3.124011281368327
A8f55fe97,X4,4.623418392091699
A51d2776c,X1,1.0480449366965787
A51d2776c,X2,2.0736508137051306
A51d2776c,X3,1.6336893471971654
A51d2776c,X4,2.3318486408925834
Aeb2419b4,X1,1.4406005387012064
Aeb2419b4,X2,1.1411065718398175
Aeb2419b4,X3,4.491665104815581
Aeb2419b4,X4,4.600239220257243
Adb01ec07,X1,2.7383150050694063
Adb01ec07,X2,3.3585177705239544
Adb01ec07,X3,4.417964917116054
Adb01ec07,X4,2.588121714535168
A35fecb17,X1,1.5919071394403201
A35fecb17,X2,1.165917672958972
A35fecb17,X3,3.2318790163592883
A35fecb17,X4,3.158953395049425
A63bcab07,X1,0.7089731957798004
A63bcab07,X2,0.2919409881379418
A63bcab07,X3,2.0214975510442845
A63bcab07,X4,3.105402114397964
Aa1e67692,X1,1.4312272697463853
Aa1e67692,X2,-0.08681719744603988
Aa1e67692,X3,0.1270212924442422
Aa1e67692,X4,5.693518722097997
Aadb58152,X1,0.25627064726251136
Aadb58152,X2,3.0668452325164743
Aadb58152,X3,3.568321386569612
Aadb58152,X4,5.7545858078020995
A68505682,X1,0.8068968194606737
A68505682,X2,2.303217361773137
A68505682,X3,2.8367284774448525
A68505682,X4,4.169099530131061
A6385c43b,X1,-0.40354493543563086
A6385c43b,X2,1.3141502157229166
A6385c43b,X3,1.025438966565758
A6385c43b,X4,4.616546907420625
A541b1455,X1,0.8872399447053883
A541b1455,X2,2.1262763909409377
A541b1455,X3,3.142878138152215
A541b1455,X4,4.790772119523398
Af8964579,X1,1.6708898902769254
Af8964579,X2,0.23511907088309147
Af8964579,X3,3.096221565412205
Af8964579,X4,3.7957042104175356
A640f58dc,X1,0.5532501276979234
A640f58dc,X2,1.614372511999703
A640f58dc,X3,1.3627976092585867
A640f58dc,X4,3.0083497266309287
A66934ac0,X1,0.8867946730556018
A66934ac0,X2,1.1466530885965551
A66934ac0,X3,1.5464334214303121
A66934ac0,X4,5.612299543519043
A73b3b08f,X1,1.1687312741932678
A73b3b08f,X2,2.0297760255155506
A73b3b08f,X3,1.2327337168983525
A73b3b08f,X4,3.8672580739662323
A6f03005d,X1,1.9279527716843843
A6f03005d,X2,2.009356165477568
A6f03005d,X3,3.216608072806541
A6f03005d,X4,3.607147865113813
A0a451d97,X1,1.7920268233792682
A0a451d97,X2,0.6792349460882481
A0a451d97,X3,4.1864233698919975
A0a451d97,X4,2.995684140351143
A76210601,X1,1.4393593194545764
A76210601,X2,2.3128006106609917
A76210601,X3,4.493822024375552
A76210601,X4,4.566841024400113
Ac8b4476f,X1,1.454926057314454
Ac8b4476f,X2,3.4666965791339597
Ac8b4476f,X3,4.456254432908018
Ac8b4476f,X4,3.898010454084781
A836406ef,X1,0.14374823226126
A836406ef,X2,2.165758459887858
A836406ef,X3,4.224191666843458
A836406ef,X4,5.131595570824579
Aee9f2101,X1,1.2177210913173482
Aee9f2101,X2,2.9334897515915674
Aee9f2101,X3,3.5380098297948273
Aee9f2101,X4,4.564470871623568
A9d853f4d,X1,-1.0181667294324344
A9d853f4d,X2,-0.26824827699908704
A9d853f4d,X3,3.2839752670803524
A9d853f4d,X4,4.520752013928719
A92381c2f,X1,1.252243870123209
A92381c2f,X2,2.348318832437156
A92381c2f,X3,4.845395108032645
A92381c2f,X4,3.2321336649572974
A7d605343,X1,-1.6733594005037506
A7d605343,X2,1.707287824593184
A7d605343,X3,3.7550864199654916
A7d605343,X4,3.8116668548403023
A263156da,X1,-1.5064677814077778
